"","city","state","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34","col35","col36","col37","col38","col39","col40","col41","col42","col43","col44","col45","col46","col47","col48","col49","col50","col51","col52","col53","col54","col55","col56","col57","col58","col59","col60","col61","col62","col63","col64","col65","col66","col67","col68","col69","col70","col71","col72","col73","col74","col75","col76","col77","col78","col79","col80","col81","col82","col83","col84","col85","col86","col87","col88","col89","col90","col91","col92","col93","col94","col95","col96","col97","col98","col99","col100","col101","col102","col103","col104","col105","col106","col107","col108","col109","col110","col111","col112","col113","col114","col115","col116","col117","col118","col119","col120","col121","col122","col123","col124","col125","col126","col127","col128","col129","col130","col131","col132","col133","col134","col135","col136","col137","col138","col139","col140","col141","col142","col143","col144","col145"
"10","Wacocity","TX",NA,NA,1,103590,2.62,23.14,67.6,0.92,16.35,19.88,34.55,21.62,13.12,103590,100,17852,74.2,0.86,30.98,29.09,9.06,13.99,24058,10195,12126,5715,11313,5770,7320,6984,27767,28.68,13.01,31.62,17.02,8.39,51.37,15.73,29.06,16.43,24.3,11.07,38.49,14.66,12.97,3.11,61.65,54.56,68.85,61.69,60.8,69.23,3537,4.71,4793,15.54,23.08,35.32,49.82,0.72,1.07,1.63,2.31,85.72,2.51,6.7,4.1,2.45,2.47,2.44,46.82,6.14,59.96,2,5606,87.57,46.51,5.64,37.57,1960,11.74,0.33,28600,43100,67400,38800,192,281,369,177,353,29.6,19.4,13,43,4,4.63,75.59,42.33,74.05,92.12,1319.3,0.76,6.57,86346.3,29,26.88,141,130.69,453,419.89,1043,966.77,2397,2221.81,6121,5673.63,1070,991.8,18,16.68,1544.24,8903.93,198,183.53,187,173.33,73432,68065.1,370.9,183.5,89.32,78.28,11.11,10.61,0,21.72,13,12,60.2,78.5,100,9315474,94.44,10
"14","PineBluffcity","AR",NA,NA,1,57140,2.74,53.52,45.65,0.49,0.43,16.51,28.17,14.68,13.38,57140,100,19143,69.31,0.63,24.41,33.46,13.58,14.16,24442,9530,13974,5688,7669,12183,23509,10718,15283,27.71,14.49,34.5,16.56,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,12.74,3.26,58.65,50.22,63.07,59.7,64.38,70.59,4401,8.51,407,26.04,32.43,34.15,39.31,0.19,0.23,0.24,0.28,96.83,0.54,7.86,5.5,2.64,2.64,2.65,61.62,5.43,46.91,3,2318,90,61.74,4.06,39.65,1964,11.65,0.73,28100,41200,59900,31800,152,219,287,135,333,29.1,17.5,15.7,28,0,0.71,80.16,56.01,85.46,92.02,1301.5,0.93,10.81,64068.5,16,27.26,59,100.51,261,444.61,531,904.55,1754,2987.92,2010,3424.02,517,880.7,46,78.36,1476.93,7371,111,189.09,89,151.61,39900,67969.3,359.5,189.1,63.67,81.98,18.02,0,0,18.02,12,7,72.1,43.9,44,3761016,80.18,10
"18","Glendalecity","CA",NA,NA,1,180038,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,180038,100,34372,76.17,0.62,40.04,20.3,11.27,11.51,39652,17966,19362,17693,20931,16696,9438,11182,25484,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,11.12,3.22,77.1,74.78,86.01,79.01,52.45,59.33,3034,2.62,81352,30.33,41.41,50.77,60.4,13.71,18.71,22.94,27.29,46.84,15.46,6.98,4.6,2.59,2.63,2.56,39.38,18.31,75.17,2,3510,95.13,38.71,2.25,17.69,1962,1.53,0.46,249800,343600,469800,220000,511,626,763,252,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,5677.3,4.15,5.88,116516,9,5.02,30,16.72,355,197.91,277,154.42,1596,889.74,4501,2509.23,1447,806.68,73,40.7,374.07,4246.34,204,113.73,189,105.36,254080,141645,1245.5,113.7,92.47,78.43,3.92,11.76,5.39,21.08,12,11,16.9,31.7,86,20900410,92.65,5
"20","Arlingtoncity","TX",NA,NA,1,261721,2.6,8.41,82.64,3.92,8.91,14.18,32.78,15.14,4.58,261763,100,35048,90.25,0.81,39.01,11.05,2.71,9.12,41620,16239,17420,11615,13416,11175,7804,9045,21272,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,12.77,3.14,78.19,75.99,87.64,76.69,63.48,71.53,2898,1.89,20006,19.03,30.13,44.66,56.86,1.45,2.3,3.41,4.35,87.44,2.2,4.07,2.8,2.58,2.89,2.25,58,4.95,47.54,3,12116,89.26,51.84,1.81,27.45,1978,5.5,0.14,64100,82800,110200,46100,312,382,469,157,444,23.7,22,11.8,47,1,7.64,51.54,36.76,67.01,84.09,2716.3,0.14,7.87,69085.6,7,2.39,146,49.94,710,242.88,1396,477.55,3977,1360.48,11514,3938.78,2452,838.8,97,33.18,772.77,6171.23,356,121.78,330,112.89,350000,119730.2,983.1,121.8,95.56,87.08,6.74,6.18,0,12.92,28,10,42.1,96.4,98,20195376,92.7,10
"22","NewYorkcity","NY",NA,NA,1,7322564,2.6,28.71,52.26,7,24.36,13.06,27.46,13.09,11.62,7322564,100,29823,73.57,0.48,35.38,24.6,13.12,12.56,34360,16281,21972,10505,10861,12851,7151,8420,1384994,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41,14.02,11.77,3.27,57.64,52.24,67.42,59.25,47.37,56.42,527557,10.5,2082931,15.87,25.51,36.37,45.77,4.51,7.26,10.34,13.02,59.04,9.84,9.16,5.71,2.54,2.8,2.43,31.59,12.3,73.76,2,172768,94.23,28.64,4.83,40.33,1946,7.33,1.25,149700,189600,244600,94900,320,448,615,295,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,22878.2,54.33,6.91,220955.41,1946,26.59,2818,38.5,86001,1174.95,62778,857.68,99207,1355.37,235132,3212.39,112464,1536.49,4443,60.7,2097.71,6164.95,25655,350.5,22496,307.34,8328470,113784,324.6,350.5,75.94,76.21,11.17,11.82,0.69,23.45,1773,10,242.2,320.1,3187,1617293056,87.69,5
"32","Laredocity","TX",NA,NA,1,122899,3.84,0.12,70.83,0.38,93.87,19.93,33.12,16.79,7.32,122899,100,18395,79.18,1.17,18.24,22.73,16.71,7.95,19910,6981,7674,2922,5577,13361,5195,6331,45126,37.29,36.26,51.16,11.63,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,8.73,4.16,75.51,67.71,84.14,75.33,48.23,52.73,3070,2.8,29945,14.07,21.62,29.66,39.74,3.43,5.27,7.23,9.68,8.15,21.64,21.34,18.23,3.78,3.95,3.54,61.58,26.43,53.73,2,1969,94.21,58.96,6.4,42.25,1972,12.42,2.11,33700,52500,75000,41300,161,245,339,178,315,27.6,22.6,12.8,4,0,24.37,67.12,60.11,86.08,91.7,3608.7,3.55,4.26,41625.3,21,13.75,7,4.58,163,106.72,862,564.37,1720,1126.13,6246,4089.41,1040,680.91,80,52.38,689.42,5948.83,188,123.09,163,106.72,150000,98208.7,797.9,123.1,95.47,1.6,0,98.4,0,98.4,8,3,160.7,34.1,90,6357675,86.7,0
"41","SanAngelocity","TX",NA,NA,1,84474,2.76,4.8,78.81,1.14,27.99,16.42,29.95,16.25,11.57,84474,100,23534,76.93,2.24,37.05,27.01,6.25,14.14,27832,11353,12578,6863,11822,7491,6391,6800,14737,18.5,14.84,29.08,17.61,7.71,61.16,12.63,25.81,14.72,23.56,10.22,27.62,13.83,12.12,3.16,74.97,70.45,83.76,76.93,65.56,71.83,1223,1.9,4542,7.9,13.43,19.77,29.72,0.42,0.72,1.06,1.6,73.84,3.89,5.71,4,2.59,2.69,2.45,61.39,6.6,52.54,2,3958,88.57,59.21,1.64,34.69,1967,7.89,0.47,33000,48300,70200,37200,237,302,387,150,365,25.4,20.2,13,240,1,5.38,69.08,45.39,73.13,87.74,1702.6,0.68,11.61,85990.6,8,8.85,43,47.57,39,43.14,373,412.63,842,931.46,3333,3687.11,174,192.49,NA,NA,512.19,NA,155,171.47,130,143.81,104278,115356.9,672.8,171.5,93.65,85.16,2.58,12.26,0,14.84,18,11,149,49.6,105,7773206,83.87,0
"43","Pontiaccity","MI",125,65440,1,71166,2.87,42.2,51.25,1.36,8.01,16.56,32.21,16.08,7.82,71166,100,21962,72.63,0.11,20.23,23.85,22.07,16.66,25834,9847,10927,8937,5787,5723,7811,7537,18222,26.67,12.04,37.61,7.95,14.4,51.07,26.9,23.36,24.49,14.34,15.75,42.09,19.81,17.89,3.34,46.61,41.73,48.83,52.16,53.63,59.61,7538,12.73,1641,11.7,14.75,21.88,32.78,0.27,0.34,0.5,0.76,91.4,1.35,9.52,6.52,2.76,2.91,2.61,52.36,6.93,55.71,2,1816,93.17,49.73,12.83,37.78,1954,8.97,0.46,27800,36300,45700,17900,257,362,448,191,436,30.5,17.2,14,132,3,2.31,66.2,51.8,86.51,92.67,3434.7,0.9,10.69,209108.91,19,27.27,NA,NA,423,607.12,1420,2038.09,1470,2109.86,1964,2818.88,874,1254.43,60,86.12,NA,6269.29,159,228.21,144,206.68,78506,112677.8,493.7,228.2,80.81,70.44,23.27,6.29,0,29.56,17,11,268.6,20.7,81,14569244,90.57,10
"52","BeverlyHillscity","CA",NA,NA,1,31971,2.2,1.7,91.28,5.46,5.4,11.38,22.12,10.53,17.88,31971,100,54348,73,0.56,55.83,28,3.47,9.02,83272,55463,57381,30294,13326,39787,27395,28719,2105,6.6,3.6,10.57,46.95,3.8,60.76,8.37,28.42,1.37,51.85,8.33,32.58,15.23,12.23,2.87,75.73,77.69,90.56,81.23,49.3,55.66,223,1.04,11133,13.57,22.29,31.93,41.76,4.73,7.76,11.12,14.54,64.34,4.86,4.05,2.25,2.19,2.71,1.78,54.32,3.27,61.04,2,1159,92.63,43.85,1.38,31.23,1949,0.4,0.2,500001,500001,500001,0,660,902,1001,341,925,29.5,24,12.9,0,5,34.82,26.78,52.74,82.67,85.41,5437.2,4.31,4.76,459169.41,1,3,8,24.03,281,843.97,72,216.25,472,1417.63,1755,5271.06,221,663.76,14,42.05,1087.25,7394.5,126,378.44,121,363.42,74615,224102.7,592.2,378.4,97.57,86.51,2.38,7.14,3.97,12.7,6,1,71.6,5.9,68,15288046,96.03,0
"55","Toledocity","OH",95,77000,1,332943,2.54,19.7,76.96,1.05,3.97,14.78,28.65,14.52,12.25,332943,100,24819,71.86,0.36,36.37,28.93,12.29,18.44,30980,11894,13077,7722,9450,12415,7272,7817,62426,19.09,8.57,26.84,14.06,9.92,55.56,19.58,26.72,18.52,22.88,11.86,34.15,15.15,13.62,3.13,62.64,58.92,68.72,65.53,57.77,66.3,15969,6,9263,19.16,27.39,32.16,37.1,0.53,0.76,0.89,1.03,93.15,0.8,5.59,3.65,2.5,2.64,2.28,64.11,1.95,47.33,3,11242,92.09,60.65,13.37,48.67,1951,5.49,0.34,33800,48900,68500,34700,210,286,365,155,378,27.2,17,13.9,260,12,2.78,76.14,56.77,88,93.19,3988.5,3,4.39,127629.2,45,13.89,357,110.19,1594,492.02,1195,368.86,5502,1698.29,15251,4707.51,4517,1394.26,357,110.19,984.96,7910.25,683,210.82,551,170.08,351211,108407.8,514.2,210.8,97.91,78.77,16.98,4.1,0,21.08,30,12,89.3,83.5,222,41348280,80.67,5
